ID	dateReception	name	country	department	city	species	composition	presentation	beneficioType	caffeine	comments	aroma	flavor	afterTaste	acidity	body	balance	uniformity	cleanCup	sweetness	overall	totalScore	descriptor1 (aroma-fragance)	descriptor2 (aroma-fragance)	descriptor1 (afterTaste)	descriptor2 (afterTaste)	Notes	altitude	area	cultivatedArea	variety	age	laborType	soilType	precipitation	fertilizer	fertilizerType	fertilizerAmount	shadow	arvenses	numberArvenses	plagues	waterSource	recollectionTime	beneficio	fermentationType	drying	dryingTime	certification	certificationType	color 	Temp roasting 	%Humidity Sinar
AC1160	Feb 2012	Rove100-14	India	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0	Parchment																																										
AC1160	Feb 2012	Rove100-14	India	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0	Parchment																																										
AC1160	Feb 2012	Rove100-14	India	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0	Parchment																																										
AC1161	Feb 2012	Rove100-15	Indonesia	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0																																											
AC1161	Feb 2012	Rove100-15	Indonesia	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0																																											
AC1161	Feb 2012	Rove100-15	Indonesia	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0																																											
AC1162	Feb 2012	Rove100-16	Vietnam	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0	Washed																																										
AC1162	Feb 2012	Rove100-16	Vietnam	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0	Washed																																										
AC1162	Feb 2012	Rove100-16	Vietnam	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0	Washed																																										
AC1163	Feb 2012	Rove100-17	Vietnam	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0	Polished																																										
AC1163	Feb 2012	Rove100-17	Vietnam	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0	Polished																																										
AC1163	Feb 2012	Rove100-17	Vietnam	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0	Polished																																										
AC1164	Feb 2012	Rove100-18	Indonesia	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0																																											
AC1164	Feb 2012	Rove100-18	Indonesia	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0																																											
AC1164	Feb 2012	Rove100-18	Indonesia	NA	NA	Robusta	100	tostado molido y verde molido	unknown	0																																											
AC1168	Mar 2012	TPAAH12002	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Palocabildo Tolima, Almendra especial	4.5	4.5	4.5	4.5	4.5	4.5	5.0	4.5	4.5	4.5	45.5	Chocolate amargo,Suave,Amargo,Amargo,																														
AC1168	Mar 2012	TPAAH12002	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Palocabildo Tolima, Almendra especial	4.5	4.5	4.5	4.5	4.5	4.5	5.0	4.5	4.5	4.5	45.5	Chocolate amargo,Suave,Amargo,Amargo,																														
AC1168	Mar 2012	TPAAH12002	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Palocabildo Tolima, Almendra especial	4.5	4.5	4.5	4.5	4.5	4.5	5.0	4.5	4.5	4.5	45.5	Chocolate amargo,Suave,Amargo,Amargo,																														
AC1169	Mar 2012	TGAAH12004	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Gaitania Tolima, Almendra especial	5.0	5.0	5.0	5.0	4.5	5.0	4.0	4.5	5.5	4.5	48.0	Frutal,Dulce,Frutal,Amargo,Frutal,																														
AC1169	Mar 2012	TGAAH12004	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Gaitania Tolima, Almendra especial	5.0	5.0	5.0	5.0	4.5	5.0	4.0	4.5	5.5	4.5	48.0	Frutal,Dulce,Frutal,Amargo,Frutal,																														
AC1169	Mar 2012	TGAAH12004	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Gaitania Tolima, Almendra especial	5.0	5.0	5.0	5.0	4.5	5.0	4.0	4.5	5.5	4.5	48.0	Frutal,Dulce,Frutal,Amargo,Frutal,																														
AC1170	Mar 2012	TCHAH12003	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Chaparral Tolima, Almendra especial	5.0	6.0	6.0	6.5	6.0	6.5	7.0	6.5	6.0	6.5	62.0	Chocolate amargo,Cereal,Suave,Dulce,Suave,																														
AC1170	Mar 2012	TCHAH12003	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Chaparral Tolima, Almendra especial	5.0	6.0	6.0	6.5	6.0	6.5	7.0	6.5	6.0	6.5	62.0	Chocolate amargo,Cereal,Suave,Dulce,Suave,																														
AC1170	Mar 2012	TCHAH12003	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Chaparral Tolima, Almendra especial	5.0	6.0	6.0	6.5	6.0	6.5	7.0	6.5	6.0	6.5	62.0	Chocolate amargo,Cereal,Suave,Dulce,Suave,																														
AC1171	Mar 2012	TICOAH12008	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Icononzo Tolima, Almendra estandar	4.0	6.0	6.0	6.0	6.0	6.5	7.0	6.0	6.5	7.0	61.0	Carbonoso,Herbal,Dulce,Floral,Dulce,Floral,																														
AC1171	Mar 2012	TICOAH12008	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Icononzo Tolima, Almendra estandar	4.0	6.0	6.0	6.0	6.0	6.5	7.0	6.0	6.5	7.0	61.0	Carbonoso,Herbal,Dulce,Floral,Dulce,Floral,																														
AC1171	Mar 2012	TICOAH12008	Colombia	Tolima	Ibague	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Centro:Ibague, Icononzo Tolima, Almendra estandar	4.0	6.0	6.0	6.0	6.0	6.5	7.0	6.0	6.5	7.0	61.0	Carbonoso,Herbal,Dulce,Floral,Dulce,Floral,																														
AC1198	290312	BRAAS12062	Brazil	NA	NA	Arabica	0	verde molido y tostado molido fino	s	0	Alfenas, beneficio seco	3.5	3.5	3.5	4.0	4.0	4.0	5.0	4.0	4.0	4.0	39.5	Cereal,Chocolate amargo,Cereal,Amargo,Astringente,Amargo,																														
AC1198	290312	BRAAS12062	Brazil	NA	NA	Arabica	0	verde molido y tostado molido fino	s	0	Alfenas, beneficio seco	3.5	3.5	3.5	4.0	4.0	4.0	5.0	4.0	4.0	4.0	39.5	Cereal,Chocolate amargo,Cereal,Amargo,Astringente,Amargo,																														
AC1198	290312	BRAAS12062	Brazil	NA	NA	Arabica	0	verde molido y tostado molido fino	s	0	Alfenas, beneficio seco	3.5	3.5	3.5	4.0	4.0	4.0	5.0	4.0	4.0	4.0	39.5	Cereal,Chocolate amargo,Cereal,Amargo,Astringente,Amargo,																														
AC1199	290312	HACAH12052	Colombia	Huila	Acevedo	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Neiva	5.0	5.0	4.5	5.0	4.5	4.5	5.0	4.5	5.0	4.5	47.5	Chocolate dulce,Astringente,Herbal,Amargo,																														
AC1199	290312	HACAH12052	Colombia	Huila	Acevedo	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Neiva	5.0	5.0	4.5	5.0	4.5	4.5	5.0	4.5	5.0	4.5	47.5	Chocolate dulce,Astringente,Herbal,Amargo,																														
AC1199	290312	HACAH12052	Colombia	Huila	Acevedo	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Neiva	5.0	5.0	4.5	5.0	4.5	4.5	5.0	4.5	5.0	4.5	47.5	Chocolate dulce,Astringente,Herbal,Amargo,																														
AC1200	290312	HISAH12054	Colombia	Huila	Isnos	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Neiva, Pergamino especial, lotemm:11112204A/K02 x 275 s/s	4.5	4.0	4.0	4.0	4.0	4.5	4.5	4.0	4.5	4.0	42.0	Chocolate dulce,Dulce,Amargo,Amargo,																														
AC1200	290312	HISAH12054	Colombia	Huila	Isnos	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Neiva, Pergamino especial, lotemm:11112204A/K02 x 275 s/s	4.5	4.0	4.0	4.0	4.0	4.5	4.5	4.0	4.5	4.0	42.0	Chocolate dulce,Dulce,Amargo,Amargo,																														
AC1200	290312	HISAH12054	Colombia	Huila	Isnos	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Neiva, Pergamino especial, lotemm:11112204A/K02 x 275 s/s	4.5	4.0	4.0	4.0	4.0	4.5	4.5	4.0	4.5	4.0	42.0	Chocolate dulce,Dulce,Amargo,Amargo,																														
AC1201	290312	HPAAH12051	Colombia	Huila	Palestina	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Neiva, Pergamino especial, lotemm:11112104AD/K02 x 299 s/s	5.5	5.5	5.0	5.0	5.0	5.5	5.5	5.0	5.0	5.0	52.0	Chocolate dulce,Floral,Suave,Limpio,																														
AC1201	290312	HPAAH12051	Colombia	Huila	Palestina	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Neiva, Pergamino especial, lotemm:11112104AD/K02 x 299 s/s	5.5	5.5	5.0	5.0	5.0	5.5	5.5	5.0	5.0	5.0	52.0	Chocolate dulce,Floral,Suave,Limpio,																														
AC1201	290312	HPAAH12051	Colombia	Huila	Palestina	100% ARABICA COLOMBIA	0	tostado molido y verde molido	h	0	Neiva, Pergamino especial, lotemm:11112104AD/K02 x 299 s/s	5.5	5.5	5.0	5.0	5.0	5.5	5.5	5.0	5.0	5.0	52.0	Chocolate dulce,Floral,Suave,Limpio,																														
AC1204	290312	BRAAS12063	Brazil	NA	NA	Arabica	0	verde molido y tostado molido fino	s	0	Alfenas, beneficio semiseco	4.0	3.5	3.5	4.0	3.5	4.0	5.0	3.5	4.0	4.0	39.0	Chocolate amargo,Cereal,Amargo,Amargo,Astringente,																														
AC1204	290312	BRAAS12063	Brazil	NA	NA	Arabica	0	verde molido y tostado molido fino	s	0	Alfenas, beneficio semiseco	4.0	3.5	3.5	4.0	3.5	4.0	5.0	3.5	4.0	4.0	39.0	Chocolate amargo,Cereal,Amargo,Amargo,Astringente,																														
